,id,date,from_id,to_id,fwd_from,message,type,duration
0,154290,2021-07-03 09:29:18+00:00,,511986933,,Ще думаю),text,
1,154288,2021-07-03 09:28:55+00:00,PeerUser(user_id=511986933),138918380,,А де збиратися будемо ?,text,
2,154287,2021-07-03 09:28:16+00:00,PeerUser(user_id=511986933),138918380,,Привіт! Думаю вийде) У мене планів поки немає на той день. Хіба в ЕПАМ сходити але до того часу справлюсь думаю,text,
3,154286,2021-07-03 09:03:25+00:00,,511986933,,Тобі би вийшло прийти?),text,
4,154285,2021-07-03 09:03:21+00:00,,511986933,,"Денис, думаю святкувати своє дн в понеділок, 12 липня, з тобою, Яріком, Вовою та Євгеном десь на 18 годину",text,
5,154284,2021-07-03 09:02:35+00:00,,511986933,,Привіт),text,
6,154167,2021-07-01 08:30:45+00:00,PeerUser(user_id=511986933),138918380,,"Та, я там на відео взагалі без тексту був, і не спішив щоб не иии-кать))",text,
7,154166,2021-07-01 08:01:08+00:00,,511986933,,"Я мушу переслухати твоє відео ще раз
Давай вирішимо вже на колі",text,
8,154165,2021-07-01 08:00:36+00:00,,511986933,,"Мені не подобається підхід намагатися переконати людей в тому, що нам можна вірити
Якщо вони нам не вірять, то ні з відео, ні з чим не повірять
А якщо вірять, то і скрінів досить",text,
9,154164,2021-07-01 07:58:59+00:00,PeerUser(user_id=511986933),138918380,,і ти сам казав що скріншоти можна підробити а відео набагато складніше,text,
10,154163,2021-07-01 07:58:39+00:00,PeerUser(user_id=511986933),138918380,,та з скриншотів може бути не видно всього про що я розказую,text,
11,154162,2021-07-01 07:57:59+00:00,,511986933,,не ціле відео,text,
12,154161,2021-07-01 07:57:55+00:00,,511986933,,Але я думаю максимум пару скріншотів,text,
13,154160,2021-07-01 07:57:43+00:00,,511986933,,На колі вирішимо,text,
14,154159,2021-07-01 07:57:33+00:00,,511986933,,Привіт)),text,
15,154158,2021-07-01 07:53:06+00:00,PeerUser(user_id=511986933),138918380,,.,text,
16,154157,2021-07-01 07:52:58+00:00,PeerUser(user_id=511986933),138918380,,просто можна було б відео моє це вставити,text,
17,154156,2021-07-01 07:49:25+00:00,PeerUser(user_id=511986933),138918380,,привіт Дяма! я от ще що думаю — ми тільки презу будемо сьогодні записувати чи ще і щось покажимо  по статистиці з графіків ?,text,
18,154127,2021-06-30 12:44:23+00:00,,511986933,,Але я думаю теж таке попросити),text,
19,154126,2021-06-30 12:44:14+00:00,,511986933,,Ми з ним ще толком не говорили,text,
20,154125,2021-06-30 12:44:04+00:00,,511986933,,Ще не питав),text,
21,154122,2021-06-30 12:15:34+00:00,PeerUser(user_id=511986933),138918380,,А ти не питав Богдана чи можна інший ноут взяти ? Я от просто все таки б убунту просив бо на вінді реально багато може бути проблем з розробкою та депенденсі. А на убунті навіть якщо щось трапилося то її знисти можна та за 20 хв поставити)),text,
22,154105,2021-06-30 07:48:36+00:00,PeerUser(user_id=511986933),138918380,,Просто я ще 3 години у потягу спав,text,
23,154104,2021-06-30 07:48:19+00:00,PeerUser(user_id=511986933),138918380,,Та доїхав нормально. Взагалі якось легко навіть,text,
24,154103,2021-06-30 07:47:18+00:00,,511986933,,А десь в обід,text,
25,154102,2021-06-30 07:47:11+00:00,,511986933,,Але краще не ввечері,text,
26,154101,2021-06-30 07:47:02+00:00,,511986933,,Вийде),text,
27,154100,2021-06-30 07:46:43+00:00,,511986933,,Ти вже вдома? Як доїхав?,text,
28,154099,2021-06-30 07:46:37+00:00,,511986933,,Вчора футбол дивився і шось не відписав),text,
29,154098,2021-06-30 07:46:27+00:00,,511986933,,Привіт),text,
30,154097,2021-06-30 07:46:06+00:00,PeerUser(user_id=511986933),138918380,,То як ?),text,
31,154093,2021-06-29 19:35:26+00:00,PeerUser(user_id=511986933),138918380,,"Привіт ! Ну, що коли у тебе вийде відео те зняти ?) Десь після завтра увечері бо до того часу треба ще трохи змінити презу",text,
32,154054,2021-06-28 19:58:48+00:00,,511986933,,"Є, дякую)",text,
33,154041,2021-06-28 19:02:06+00:00,PeerUser(user_id=511986933),138918380,,Скинув,text,
34,154040,2021-06-28 18:07:24+00:00,,511986933,,Кидай 50),text,
35,154039,2021-06-28 18:06:56+00:00,PeerUser(user_id=511986933),138918380,,Скільки за таксі я маю заплатити ?,text,
36,154015,2021-06-28 08:18:04+00:00,PeerUser(user_id=511986933),138918380,,,text,
37,154014,2021-06-28 08:13:44+00:00,,511986933,,Будемо десь протягом 10хв думаю,text,
38,154013,2021-06-28 08:13:28+00:00,,511986933,,,text,
39,154012,2021-06-28 08:13:24+00:00,,511986933,,Ми їдемо,text,
40,154011,2021-06-28 08:10:46+00:00,PeerUser(user_id=511986933),138918380,,Чекаю вже на зупинці),text,
41,154006,2021-06-27 21:26:28+00:00,PeerUser(user_id=511986933),138918380,,дякую),text,
42,154005,2021-06-27 21:26:19+00:00,,511986933,,Ага,text,
43,154004,2021-06-27 21:26:05+00:00,PeerUser(user_id=511986933),138918380,,можеш на акаунті Насті дестройнути кроулера ?,text,
44,154003,2021-06-27 21:25:52+00:00,,511986933,,Так),text,
45,153999,2021-06-27 18:17:35+00:00,PeerUser(user_id=511986933),138918380,,у Насті не можу бо не зайду,text,
46,153998,2021-06-27 18:17:28+00:00,PeerUser(user_id=511986933),138918380,,відключив усіх кроулерів у тебе на акаунті та у Діми,text,
47,153997,2021-06-27 17:55:25+00:00,PeerUser(user_id=511986933),138918380,,"От ще я подумав, а чи ви їжу якусь з собою берете чи закуп якийсь робимо ? Чи там є де купити можна ?)",text,
48,153996,2021-06-27 17:36:14+00:00,PeerUser(user_id=511986933),138918380,,крім однієї для кроулера,text,
49,153995,2021-06-27 17:36:07+00:00,PeerUser(user_id=511986933),138918380,,давай тоді я машини дестройну для кроулерів ?,text,
50,153994,2021-06-27 17:35:41+00:00,PeerUser(user_id=511986933),138918380,,,video,90
51,153993,2021-06-27 17:35:39+00:00,PeerUser(user_id=511986933),138918380,,зняв про всяк випадок),text,
52,153991,2021-06-27 15:32:49+00:00,,511986933,,Супер),text,
53,153990,2021-06-27 15:32:40+00:00,,511986933,,Та),text,
54,153989,2021-06-27 15:32:38+00:00,,511986933,,"Та, я тоді візьму",text,
